osm_id,code,fclass,name,point_x,point_y,lon,lat
357776262,2082,school,James Kenan High School,-78.0424879000,34.9846107000,-78.04249,34.98461
357789418,2082,school,Williams School,-78.0577658000,34.8865564000,-78.05777,34.88656
357796357,2082,school,James Sprunt Institute,-77.9774851000,34.9473886000,-77.97749,34.94739
357796521,2082,school,Wallace Elementary School,-77.9788735000,34.7343350000,-77.97887,34.73434
357796529,2082,school,Kenansville Elementary School,-77.9608179000,34.9662772000,-77.96082,34.96628
357796530,2082,school,E E Smith Middle School,-77.9751544000,34.9590450000,-77.97515,34.95905
357796534,2082,school,Douglass Junior High School,-78.1094350000,34.9957219000,-78.10944,34.99572
357796535,2082,school,Warsaw Elementary School,-78.0772009000,34.9962604000,-78.0772,34.99626
357798452,2082,school,Charity Junior High School,-77.9685953000,34.8248898000,-77.9686,34.82489
357800019,2082,school,Magnolia-Rose Hill School,-78.0233197000,34.8501677000,-78.02332,34.85017
357810883,2082,school,Wallace-Rose Hill High School,-77.9991515000,34.7715573000,-77.99915,34.77156
5315601762,2501,supermarket,Walmart Supercenter,-77.9689270000,34.7392190000,-77.96893,34.73922
7600746464,2501,supermarket,Food Lion,-77.9744347000,34.7409391000,-77.97443,34.74094
357769103,2082,school,Branch School,-77.8191460000,35.0679421000,-77.81915,35.06794
357773842,2082,school,Grady High School,-77.8319243000,35.0559977000,-77.83192,35.056
357782900,2082,school,Potters Hill School,-77.7116416000,34.9707197000,-77.71164,34.97072
357796526,2082,school,Beulaville Elementary School,-77.7640306000,34.9194155000,-77.76403,34.91942
357798338,2082,school,Albertson Adult Education Center,-77.8188683000,35.0682199000,-77.81887,35.06822
357798567,2082,school,East Duplin High School,-77.7844226000,34.9407207000,-77.78442,34.94072
357778570,2082,school,Moore School,-78.1619375000,35.1126655000,-78.16194,35.11267
357780562,2082,school,North Duplin School,-78.0852681000,35.1340539000,-78.08527,35.13405
357796536,2082,school,North Duplin Elementary School,-78.0891571000,35.1426649000,-78.08916,35.14266
3280083612,2501,supermarket,Piggly Wiggly,-78.1368824000,35.1147233000,-78.13688,35.11472
7161267582,2501,supermarket,La Victoria,-78.1369540000,35.1165731000,-78.13695,35.11657
7161285611,2014,arts_centre,Arts Co of Faison,-78.1373871000,35.1166514000,-78.13739,35.11665
357796522,2082,school,Chinquapin Elementary School,-77.8144238000,34.8309998000,-77.81442,34.831
357796525,2082,school,Chinquapin II Elementary School,-77.8122015000,34.8248887000,-77.8122,34.82489
